Ticker,Nome,SETOR ECONÔMICO,SUBSETOR,SEGMENTO
PRMN,PROMAN      ,Utilidade Pública,Energia Elétrica,Energia Elétrica
PRNR,PRINER,Bens Industriais,Serviços Diversos,Serviços Diversos
PRPT,PROMPT PART ,Outros,Outros,Outros
PSSA,PORTO SEGURO,Financeiro,Previdência e Seguros,Seguradoras
PSVM,PORTO VM,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem
PTBL,PORTOBELLO  ,Bens Industriais,Construção e Engenharia,Produtos para Construção
PTCA,PRATICA,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
PTNT,PETTENATI   ,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
QUAL,QUALICORP   ,Saúde,Análises e Diagnósticos,Análises e Diagnósticos
QUSW,QUALITY SOFT,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
QVQP,524 PARTICIP,Outros,Outros,Outros
RADL,RAIADROGASIL    ,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos
RAIL,RUMO S.A.,Bens Industriais,Transporte,Transporte Ferroviário
RANI,IRANI ,Materiais Básicos,Madeira e Papel,Papel e Celulose
RAPT,RANDON PART ,Bens Industriais,Material de Transporte,Material Rodoviário
RBRA,RBCAPITALRES,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
RCSL,RECRUSUL    ,Bens Industriais,Material de Transporte,Material Rodoviário
RDNI,RNI,Consumo Cíclico,Construção Civil,Incorporações
RDVT,ROD TIETE   ,Bens Industriais,Transporte,Exploração de Rodovias
REDE,REDE ENERGIA,Utilidade Pública,Energia Elétrica,Energia Elétrica
RENT,LOCALIZA    ,Consumo Cíclico,Diversos,Aluguel de carros
RESA,RAIZEN ENERG,Consumo não Cíclico,Alimentos Processados,Açucar e Alcool
RLOG,COSAN LOG,Bens Industriais,Transporte,Transporte Ferroviário
RNEW,RENOVA      ,Utilidade Pública,Energia Elétrica,Energia Elétrica
ROMI,INDS ROMI   ,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
RPAD,ALFA HOLDING,Financeiro,Intermediários Financeiros,Bancos
RPMG,PET MANGUINH,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
RPTA,CONC RAPOSO ,Bens Industriais,Transporte,Exploração de Rodovias
RSID,ROSSI RESID ,Consumo Cíclico,Construção Civil,Incorporações
RSUL,RIOSULENSE  ,Bens Industriais,Material de Transporte,Material Rodoviário
SAIP,SALUS INFRA,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem
SANB,SANTANDER BR,Financeiro,Intermediários Financeiros,Bancos
SAPR,SANEPAR     ,Utilidade Pública,Água e Saneamento,Água e Saneamento
SBSP,SABESP      ,Utilidade Pública,Água e Saneamento,Água e Saneamento
SCAR,SAO CARLOS  ,Financeiro,Exploração de Imóveis,Exploração de Imóveis
SEER,SER EDUCA,Consumo Cíclico,Diversos,Serviços Educacionais
SGPS,SPRINGS     ,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
SHOW,TIME FOR FUN,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows
SHUL,SCHULZ      ,Bens Industriais,Máquinas e Equipamentos,"Motores, Compressores e Outros"
SLCE,SLC AGRICOLA,Consumo não Cíclico,Agropecuária,Agricultura
SLCT,SELECTPART  ,Outros,Outros,Outros
SLED,SARAIVA LIVR,Consumo Cíclico,Comércio,Produtos Diversos
SMFT,SMART FIT,Consumo Cíclico,Viagens e Lazer,Atividades Esportivas
SMLS,SMILES,Consumo Cíclico,Diversos,Programas de Fidelização
SMTO,SAO MARTINHO,Consumo não Cíclico,Alimentos Processados,Açucar e Alcool
SNST,SANESALTO   ,Utilidade Pública,Água e Saneamento,Água e Saneamento
SNSY,SANSUY      ,Materiais Básicos,Materiais Diversos,Materiais Diversos
SOND,SONDOTECNICA,Bens Industriais,Construção e Engenharia,Engenharia Consultiva
SPRI,SPRINGER    ,Financeiro,Holdings Diversificadas,Holdings Diversificadas
SPRT,LONGDIS     ,Outros,Outros,Outros
SQIA,SINQIA,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
STBP,SANTOS BRP  ,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem
STEN,STO ANTONIO,Utilidade Pública,Energia Elétrica,Energia Elétrica
STKF,STATKRAFT,Utilidade Pública,Energia Elétrica,Energia Elétrica
STTR,STARA,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas
STTZ,SANTHER     ,Materiais Básicos,Madeira e Papel,Papel e Celulose
SULA,SUL AMERICA ,Financeiro,Previdência e Seguros,Seguradoras
SUZB,SUZANO S.A.,Materiais Básicos,Madeira e Papel,Papel e Celulose
TAEE,TAESA       ,Utilidade Pública,Energia Elétrica,Energia Elétrica
TASA,TAURUS ARMAS,Bens Industriais,Máquinas e Equipamentos,Armas e Munições
TCNO,TECNOSOLO   ,Bens Industriais,Construção e Engenharia,Engenharia Consultiva
TCSA,TECNISA     ,Consumo Cíclico,Construção Civil,Incorporações
TECN,TECHNOS     ,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Acessórios
TEKA,TEKA        ,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
TELB,TELEBRAS    ,Comunicações,Telecomunicações,Telecomunicações
TEND,TENDA,Consumo Cíclico,Construção Civil,Incorporações
TEPE,TERM. PE III,Utilidade Pública,Energia Elétrica,Energia Elétrica
TESA,TERRA SANTA,Consumo não Cíclico,Agropecuária,Agricultura
TGMA,TEGMA       ,Bens Industriais,Transporte,Transporte Rodoviário
TIET,AES TIETE E,Utilidade Pública,Energia Elétrica,Energia Elétrica
TIMP,TIM PART S/A,Comunicações,Telecomunicações,Telecomunicações
TKNO,TEKNO       ,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço
TMPE,TERMOPE     ,Utilidade Pública,Energia Elétrica,Energia Elétrica
TOTS,TOTVS       ,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
TPIS,TRIUNFO PART,Bens Industriais,Transporte,Exploração de Rodovias
TRIA,TRIANGULOSOL,Bens Industriais,Transporte,Exploração de Rodovias
TRIS,TRISUL      ,Consumo Cíclico,Construção Civil,Incorporações
TRPL,TRAN PAULIST,Utilidade Pública,Energia Elétrica,Energia Elétrica
TUPY,TUPY        ,Bens Industriais,Material de Transporte,Material Rodoviário
TXRX,TEX RENAUX  ,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos
UCAS,UNICASA,Consumo Cíclico,Utilidades Domésticas,Móveis
UGPA,ULTRAPAR    ,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição"
UNID,UNIDAS      ,Consumo Cíclico,Diversos,Aluguel de carros
UNIP,UNIPAR      ,Materiais Básicos,Químicos,Químicos Diversos
UPKP,UPTICK      ,Utilidade Pública,Energia Elétrica,Energia Elétrica
USIM,USIMINAS    ,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
VALE,VALE        ,Materiais Básicos,Mineração,Minerais Metálicos
VERT,VERTCIASEC,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
VIVA,VIVARA S.A.,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Acessórios
VIVR,VIVER       ,Consumo Cíclico,Construção Civil,Incorporações
VIVT,TELEF BRASIL,Comunicações,Telecomunicações,Telecomunicações
VLID,VALID       ,Bens Industriais,Serviços Diversos,Serviços Diversos
VOES,VIAOESTE    ,Bens Industriais,Transporte,Exploração de Rodovias
VSPT,FER C ATLANT,Bens Industriais,Transporte,Transporte Ferroviário
VULC,VULCABRAS   ,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados
VVAR,VIAVAREJO,Consumo Cíclico,Comércio,Eletrodomésticos
WEGE,WEG         ,Bens Industriais,Máquinas e Equipamentos,"Motores, Compressores e Outros"
WHRL,WHIRLPOOL   ,Consumo Cíclico,Utilidades Domésticas,Eletrodomésticos
WIZS,WIZ S.A.,Financeiro,Previdência e Seguros,Corretoras de Seguros
WLMM,WLM IND COM ,Bens Industriais,Comércio,Material de Transporte
WSON,WILSON SONS ,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem
WTPI,WTORRE PIC  ,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
WTVR,BRPR 56 SEC,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis
YDUQ,YDUQS PART,Consumo Cíclico,Diversos,Serviços Educacionais
